SubjectID,researchdate,BrandID,Brand,CategoryDelivery,daily_ots,score,threshold,reason
792639191900656642,2025-06-01,221942,xiaomi,Смартфоны,47320.628,12.178,10.0,"CombinedScore=12.18; OTS_Z=12.18; COUNT_Z=0.71; daily_ots=47320.6 > thresh=39628.5 (median=4310.7, MAD=2382.2, n=3163)"
1306806058556077568,2025-06-01,207447,honor,Смартфоны,285217.91,75.7784,10.0,"CombinedScore=75.78; OTS_Z=75.78; COUNT_Z=5.82; daily_ots=285217.9 > thresh=41345.0 (median=4270.0, MAD=2500.7, n=4464)"
1306806058556077568,2025-06-01,207543,huawei,Смартфоны,57043.582,17.1969,10.0,"CombinedScore=17.20; OTS_Z=17.20; COUNT_Z=0.76; daily_ots=57043.6 > thresh=34773.1 (median=3828.5, MAD=2087.2, n=1984)"
1306806058556077568,2025-06-01,215234,poco,Смартфоны,85565.373,20.9207,10.0,"CombinedScore=20.92; OTS_Z=20.92; COUNT_Z=1.14; daily_ots=85565.4 > thresh=43228.0 (median=4459.8, MAD=2614.9, n=3221)"
1306806058556077568,2025-06-01,221942,xiaomi,Смартфоны,85565.373,23.0067,10.0,"CombinedScore=23.01; OTS_Z=23.01; COUNT_Z=1.42; daily_ots=85565.4 > thresh=39628.5 (median=4310.7, MAD=2382.2, n=3163)"
1585271561336916995,2025-06-01,219306,tcl (техника),Крупная техника,77179.518,23.5553,10.0,"CombinedScore=23.56; OTS_Z=23.56; COUNT_Z=2.61; daily_ots=77179.5 > thresh=34879.3 (median=3673.6, MAD=2104.8, n=372)"
2243906939957421696,2025-06-01,281079,samsung galaxy,Смартфоны,69262.016,15.7716,10.0,"CombinedScore=15.77; OTS_Z=15.77; COUNT_Z=4.12; daily_ots=69262.0 > thresh=45631.7 (median=4689.4, MAD=2761.6, n=7433)"
2594080773626549762,2025-06-01,215268,polar (бытовая техника),Смарт-часы и браслеты,10002.148,11.6609,10.0,"CombinedScore=11.66; OTS_Z=11.66; COUNT_Z=0.00; daily_ots=10002.1 > thresh=8795.3 (median=1529.0, MAD=490.1, n=119)"
4827866083748770688,2025-06-01,281079,samsung galaxy,Смартфоны,63042.254,14.2524,10.0,"CombinedScore=14.25; OTS_Z=14.25; COUNT_Z=5.89; daily_ots=63042.3 > thresh=45631.7 (median=4689.4, MAD=2761.6, n=7433)"
5188154264055124614,2025-06-01,214853,perfect fit,Корм для кошек,39425.625,14.3865,10.0,"CombinedScore=14.39; OTS_Z=14.39; COUNT_Z=4.14; daily_ots=39425.6 > thresh=28452.7 (median=3437.7, MAD=1687.3, n=234)"
5269223972552621314,2025-06-01,213474,nike,Обувь,72661.206,18.2196,10.0,"CombinedScore=18.22; OTS_Z=18.22; COUNT_Z=2.99; daily_ots=72661.2 > thresh=41879.1 (median=4429.4, MAD=2526.0, n=1795)"
6341074104264852368,2025-06-01,221942,xiaomi,Смартфоны,103951.57,28.2127,10.0,"CombinedScore=28.21; OTS_Z=28.21; COUNT_Z=2.85; daily_ots=103951.6 > thresh=39628.5 (median=4310.7, MAD=2382.2, n=3163)"
8791033531835245126,2025-06-01,217082,samsung,Смартфоны,42798.715,13.0727,10.0,"CombinedScore=13.07; OTS_Z=13.07; COUNT_Z=6.60; daily_ots=42798.7 > thresh=33612.7 (median=3716.5, MAD=2016.5, n=1421)"
5034735007817,2025-06-02,207543,huawei,Смарт-часы и браслеты,47631.573,13.3587,10.0,"CombinedScore=13.36; OTS_Z=13.36; COUNT_Z=6.91; daily_ots=47631.6 > thresh=36711.3 (median=4198.1, MAD=2193.0, n=956)"
225608272464491072,2025-06-02,213474,nike,Обувь,74966.995,18.8353,10.0,"CombinedScore=18.84; OTS_Z=18.84; COUNT_Z=2.40; daily_ots=74967.0 > thresh=41879.1 (median=4429.4, MAD=2526.0, n=1795)"
